id,latitud,longitud,nombre,estacion
1,-58.39892759,-34.63575018,CASEROS,H
2,-58.40096956,-34.62937566,INCLAN - MEZQUITA AL AHMAD,H
3,-58.40232273,-34.62309232,HUMBERTO 1°,H
4,-58.40473172,-34.61524215,VENEZUELA,H
5,-58.40603638,-34.60893524,ONCE - 30 DE DICIEMBRE,H
6,-58.38057434,-34.6042452,9 DE JULIO,D
7,-58.39792376,-34.59975708,FACULTAD DE MEDICINA,D
8,-58.38514236,-34.60158717,TRIBUNALES - TEATRO COLÓN,D
9,-58.40716132,-34.59162784,AGÜERO,D
10,-58.41595542,-34.58515594,R.SCALABRINI ORTIZ,D
11,-58.42119601,-34.58141119,PLAZA ITALIA,D
12,-58.42571144,-34.57842202,PALERMO,D
13,-58.37401822,-34.59119381,RETIRO,C
14,-58.37815578,-34.60176992,LAVALLE,C
15,-58.37952998,-34.60484374,DIAGONAL NORTE,C
16,-58.38061072,-34.60898331,AV. DE MAYO,C
17,-58.38044447,-34.61261728,MORENO,C
18,-58.38017361,-34.6181256,INDEPENDENCIA,C
19,-58.38143443,-34.62761945,CONSTITUCION,C
20,-58.37507152,-34.60329729,FLORIDA,B
21,-58.38071485,-34.60363711,C. PELLEGRINI,B
22,-58.38729613,-34.60409355,URUGUAY,B
23,-58.39231424,-34.60441954,CALLAO - MAESTRO ALFREDO BRAVO,B
24,-58.39947426,-34.60464297,PASTEUR - AMIA,B
25,-58.40539944,-34.60458106,PUEYRREDON,B
26,-58.4117626,-34.60407952,CARLOS GARDEL,B
27,-58.42096247,-34.6031649,ALMAGRO - MEDRANO,B
28,-58.43127386,-34.60216223,ANGEL GALLARDO,B
29,-58.4397715,-34.59896736,MALABIA - OSVALDO PUGLIESE,B
30,-58.44757309,-34.59171815,DORREGO,B
31,-58.37426773,-34.60855907,PERU,A
32,-58.37908515,-34.60888172,PIEDRAS,A
33,-58.3822324,-34.60909981,LIMA,A
34,-58.38677719,-34.60941259,SAENZ PEÑA,A
35,-58.39266882,-34.60922568,CONGRESO - PDTE. DR. RAÚL R. ALFONSÍN,A
36,-58.39842699,-34.60964596,PASCO,A
37,-58.40120753,-34.60983358,ALBERTI,A
38,-58.40670712,-34.60981725,PLAZA DE MISERERE,A
39,-58.41518571,-34.61078169,LORIA,A
40,-58.42181567,-34.61177023,CASTRO BARROS,A
41,-58.42950032,-34.61520561,RIO DE JANEIRO,A
42,-58.43642853,-34.61827997,ACOYTE,A
43,-58.44117763,-34.62040521,PRIMERA JUNTA,A
44,-58.37368422,-34.60924243,BOLIVAR,E
45,-58.37758089,-34.61284911,BELGRANO,E
46,-58.38153494,-34.61793739,INDEPENDENCIA,E
47,-58.38514855,-34.62233949,SAN JOSE,E
48,-58.3915117,-34.62271967,ENTRE RIOS - RODOLFO WALSH,E
49,-58.39706807,-34.62310987,PICHINCHA,E
50,-58.40293658,-34.62386571,JUJUY,E
51,-58.40939078,-34.62465379,URQUIZA,E
52,-58.43381625,-34.62801755,JOSE MARIA MORENO,E
53,-58.44217071,-34.63104184,EMILIO MITRE,E
54,-58.4112939,-34.58823711,BULNES,D
55,-58.40239534,-34.59442572,PUEYRREDON,D
56,-58.39312518,-34.59963955,CALLAO,D
57,-58.37781905,-34.5950574,SAN MARTIN,C
58,-58.37992118,-34.62191673,SAN JUAN,C
59,-58.45027826,-34.63638919,MEDALLA MILAGROSA,E
60,-58.42678902,-34.62701547,AV. LA PLATA,E
61,-58.41553282,-34.62536611,BOEDO,E
62,-58.43501353,-34.57517836,MINISTRO CARRANZA - MIGUEL ABUELO,D
63,-58.44466815,-34.57001231,OLLEROS,D
64,-58.4521256,-34.56621524,JOSE HERNANDEZ,D
65,-58.45648913,-34.56230909,JURAMENTO,D
66,-58.45502929,-34.58719785,FEDERICO LACROZE,B
67,-58.46165176,-34.64331216,PLAZA DE LOS VIRREYES - EVA PERON,E
68,-58.45789176,-34.64013735,VARELA,E
69,-58.37395581,-34.60780234,CATEDRAL,D
70,-58.3709685,-34.60881031,PLAZA DE MAYO,A
71,-58.46237841,-34.55564177,CONGRESO DE TUCUMAN,D
72,-58.36992985,-34.6029895,LEANDRO N. ALEM,B
73,-58.4662272,-34.58409462,TRONADOR - VILLA ORTÚZAR,B
74,-58.47424083,-34.58124885,DE LOS INCAS -PQUE. CHAS,B
75,-58.4567098,-34.62666659,CARABOBO,A
76,-58.44864765,-34.62352895,PUAN,A
77,-58.40545033,-34.6044902,CORRIENTES,H
78,-58.40579483,-34.63840599,PARQUE PATRICIOS,H
79,-58.41238515,-34.64126894,HOSPITALES,H
80,-58.4810135,-34.57779738,ECHEVERRÍA,B
81,-58.48638535,-34.57431891,JUAN MANUEL DE ROSAS - VILLA URQUIZA,B
83,-58.46963963,-34.63070709,SAN PEDRITO,A
82,-58.46354051,-34.62908723,SAN JOSÉ DE FLORES,A
84,-58.4037215,-34.59845511,CÓRDOBA,H
85,-58.39721558,-34.58746155,LAS HERAS,H
86,-58.40237618,-34.5945254,SANTA FE - CARLOS JAUREGUI,H
87,-58.39101883,-34.58303634,FACULTAD DE DERECHO - JULIETA LANTERI,H
90,-58.37584984,-34.59211436,RETIRO,E
89,-58.37170033,-34.59659682,CATALINAS,E
88,-58.3704125,-34.60301391,CORREO CENTRAL,E
